Brand,Fragrance Name ,Primary Olfactory Family,Core Key Notes
Coach,Wild Rose,Floral Fruity,"Red Currant, Bergamot, Rose, Jasmine, Ambrosia, Moss"
Creed,Aventus,Chypre Fruity,"Pineapple, Bergamot, Blackcurrant, Apple, Birch, Patchouli, Musk"
Dior,J'adore,Floral,"Pear, Melon, Magnolia, Peach, Jasmine, Lily-of-the-Valley, Rose"
Dior,Miss Dior,Amber Floral,"Iris, Peony, Lily-of-the-Valley, Apricot, Rose, Peach, Vanilla, Tonka"
Dior,Poison,Amber Floral,"Plum, Wild Berries, Coriander, Tuberose, Honey, Incense, Vanilla"
Dior,Sauvage,Aromatic Fougère,"Calabrian Bergamot, Pepper, Sichuan Pepper, Lavender, Ambroxan"
DKNY,Be Delicious Fresh Blossom,Floral Fruity,"Grapefruit, Apricot, Cassis, Rose, Lily-of-the-Valley, Jasmine, Red Apple"
Dolce & Gabbana,Devotion Men / Women,Amber Vanilla,"Candied Citrus, Orange Blossom, Panacotta, Rum, Vanilla"
Dolce & Gabbana,Intenso Men Pour Homme,Woody Aromatic,"Lavender, Water Notes, Basil, Marigold, Tobacco, Hay, Sandalwood"
Dolce & Gabbana,L'Imperatrice,Floral Fruity,"Kiwi, Rhubarb, Pink Pepper, Watermelon, Cyclamen, Jasmine, Musk"
Dolce & Gabbana,Light Blue / Capri in Love,Floral Fruity / Citrus,"Sicilian Lemon, Apple, Bellflower, Bamboo, Jasmine, White Rose, Cedar"
Dolce & Gabbana,Light Blue Summer Vibes,Floral Woody Musk,"Calabrian Bergamot, Peach, Cedarwood"
Dolce & Gabbana,The One Men,Woody Spicy,"Coriander, Basil, Grapefruit, Ginger, Orange Blossom, Tobacco, Amber"
Givenchy,Irresistible,Floral Woody Musk,"Pear, Ambrette (Musk Mallow), Essential Rose, Iris, Musk, Virginia Cedar"
Gucci,Bamboo,Floral,"Bergamot, Casablanca Lily, Ylang-Ylang, Orange Blossom, Amber, Vanilla"
Gucci,Bloom / Ambrosia Di Fiori,Floral,"Jasmine, Tuberose, Rangoon Creeper, Damask Rose, Tuscan Iris"
Gucci,Flora Gorgeous Jasmine,Floral,"Italian Mandarin, Jasmine, Magnolia, Damask Rose, Benzoin"
Gucci,Flora Gorgeous Magnolia,Floral,"Dewberry, Sweet Orange, Magnolia, Coconut, Jasmine, Patchouli"
Gucci,Flora Gorgeous Orchid,Floral Gourmand,"Vanilla Orchid, Ozonic Notes, Vanilla Vanilla Bean"
Gucci,Flora Gorgeous Gardenia,Floral Fruity,"Pear Blossom, Red Berries, Italian Mandarin, White Gardenia"
Gucci,Guilty Pour Femme / Homme,Amber Floral / Woody,"Pink Pepper, Mandarin, Lilac, Violet, Peach, Patchouli, Lavender, Lemon"
Guess,Body Mist Bella Vita / Rosa,Floral Fruity / Gourmand,"Italian Lemon, Juicy Cherries, Black Currant, Tuberose, Jasmin, Praline"
Guess,Body Mist Love Nirvana Dream,Floral Woody Musk,"Sea Salt, Plumeria, Wild Freesia, White Woods, Sunkissed Amber"
Jean Paul Gaultier,Classique,Amber Floral,"Orange Blossom, Star Anise, Pear, Rose, Ginger, Orchid, Vanilla"
Jean Paul Gaultier,Divine Women,Amber Floral,"Calypsone, Red Berries, Bergamot, Lily, Ylang-Ylang, Meringue, Musk"
Jean Paul Gaultier,La Belle,Amber Vanilla,"Pear, Bergamot, Green Pods, Leather, Vanilla, Vetiver"
Jean Paul Gaultier,Le Beau Paradise Garden,Woody Aromatic,"Watery Notes, Green Mint, Ginger, Salt, Coconut, Fig, Sandalwood"
Jean Paul Gaultier,Le Male / Elixir,Amber Fougère,"Lavender, Mint, Cardamom, Cinnamon, Vanilla, Tonka, Honey, Benzoin"
Jean Paul Gaultier,Scandal Women / Le Parfum,Chypre Floral / Amber,"Blood Orange, Mandarin, Honey, Gardenia, Jasmine, Caramel, Vanilla"
Jean Paul Gaultier,Scandal Pour Homme,Amber Woody,"Clary Sage, Mandarin Orange, Caramel, Tonka Bean, Vetiver"
Jean Paul Gaultier,Ultra Male,Amber Fougère,"Pear, Lavender, Mint, Bergamot, Cinnamon, Clary Sage, Black Vanilla"
Jimmy Choo,I Want Choo / Special Edition,Amber Floral,"Mandarin Orange, Velvet Peach, Red Spider Lily, Jasmine, Vanilla"
Jimmy Choo,Jimmy Choo Women,Chypre Fruity,"Pear, Mandarin Orange, Green Notes, Tiger Orchid, Toffee, Patchouli"
Kenneth Cole,Black EDP,Floral,"White Violet, Citrus, Gardenia, Jasmine, Lily-of-the-Valley, Sandalwood"
Kenzo,Flower,Amber Floral,"Bulgarian Rose, Wild Hawthorn, Black Currant, Parma Violet, Vanilla"
Lattafa,Asad,Amber Spicy,"Black Pepper, Pineapple, Tobacco, Coffee, Patchouli, Iris, Amber, Vanilla"
Lattafa,Khamrah,Aromatic Spicy,"Cinnamon, Nutmeg, Bergamot, Dates, Praline, Tuberose, Vanilla, Myrrh"
Lattafa,Yara / Yara Tous,Amber Vanilla / Fruity,"Orchid, Heliotrope, Tangerine, Gourmand Notes, Mango, Coconut, Passionfruit"
Lacoste,L.12.12 Blanc / Eau Intense,Woody Floral Musk,"Grapefruit, Rosemary, Cardamom, Ylang-Ylang, Tuberose, Leather, Suede"
Lacoste,Touch Of Pink,Floral Fruity,"Orange, Peach, Coriander, Cardamom, Jasmine, Violet, Vanilla, Musk"
Marc Jacobs,Daisy / Daisy Love / Eau So Fresh,Floral Woody Musk,"Violet Leaf, Blood Grapefruit, Strawberry, Gardenia, Jasmine, Cloudberry"
Montblanc,Explorer / Platinum,Woody Aromatic,"Bergamot, Pink Pepper, Clary Sage, Vetiver, Leather, Violet Leaf, Cedar"
Montblanc,Legend / Legend Spirit,Aromatic Fougère,"Lavender, Pineapple, Bergamot, Red Apple, Oakmoss, Grapefruit, Aquatic Notes"
Montblanc,Presence,Oriental Spicy,"Cinnamon, Cardamom, Ginger, Bergamot, Apple, Heliotrope, Sandalwood"
Montblanc,Signature,Amber Floral,"Clementine, Magnolia, Ylang-Ylang, Peony, Vanilla, White Musk"
Moschino,Fresh Couture / Gold / Pink,Floral Woody / Fruity,"Bergamot, Mandarin, Ylang-Ylang, Raspberry, Pear, White Peach, Rose"
Moschino,Toy 2 / Bubble Gum / Pearl,Floral Woody / Gourmand,"Apple, Mandarin, Magnolia, White Currant, Bubble Gum, Candied Fruits, Oregano"
Moschino,Toy Boy,Woody Spicy,"Pink Pepper, Pear, Indonesian Nutmeg, Rose, Magnolia, Vetiver"
Mugler,Alien / Goddess Supra Florale,Amber Floral,"Jasmine Sambac, Cashmeran Wood, White Amber, Cactus Flower, Immortelle"
Mugler,Angel,Amber Vanilla,"Cotton Candy, Coconut, Cassis, Melon, Jasmin, Honey, Red Berries, Patchouli"
Nautica,Voyage,Woody Aquatic,"Green Apple, Green Leaves, Lotus, Mimosa, Musk, Cedar, Oakmoss"
Paris Hilton,Paris Hilton Men / Women,Aromatic / Floral Fruity,"Melon, Green Mango, Cucumber, Cedar, Red Apple, Peach, Melon, Freesia"
Prada,Luna Rossa Ocean,Aromatic Fougère,"Bergamot, Pink Pepper, Artemisia, Lavender, Iris, Suede, Caramel"
Prada,Paradoxe / Paradoxe Intense,Amber Floral,"Pear, Tangerine, Neroli, Orange Blossom, Jasmine, Amber, White Musk"
Rabanne,1 Million / Royal / Elixir,Amber Woody / Spicy,"Blood Mandarin, Cinnamon, Mint, Saffron, Leather, Apple, Rose, Vanilla"
Rabanne,Invictus / Victory Elixir,Woody Aquatic / Amber,"Sea Notes, Grapefruit, Mandarin, Bay Leaf, Jasmine, Ambergris, Vanilla"
Rabanne,Lady Million / Royal,Floral Fruity,"Raspberry, Neroli, Amalfi Lemon, Jasmine, Gardenia, Honey, White Flowers"
Rabanne,Olympéa,Amber Floral,"Water Jasmine, Green Mandarin, Ginger Flower, Salted Vanilla, Ambergris"
Rabanne,Phantom,Woody Aromatic,"Lavender, Lemon Zest, Amalfi Lemon, Lavender, Apple, Smoke, Vanilla"
Ralph Lauren,Polo Blue / Men,Aromatic Fougère,"Cucumber, Melon, Mandarin Orange, Basil, Sage, Geranium, Suede, Musk"
Ralph Lauren,Polo Green / Men,Woody Chypre,"Pine Tree Needles, Basil, Artemisia, Tobacco, Leather, Oakmoss, Patchouli"
Ralph Lauren,Polo Red / Men,Woody Spicy,"Cranberry, Grapefruit, Italian Lemon, Saffron, Sage, Amber, Coffee, Wood"
Sabrina Carpenter,Sweet Tooth / Cherry Baby,Floral Fruity Gourmand,"Marshmallow, Chocolate, Candied Ginger, Sugar, Cherry, Red Poppy, Vanilla"
Valentino,Born In Roma Donna / Coral / Green,Amber Floral / Fruity,"Blackcurrant, Pink Pepper, Jasmine, Bourbon Vanilla, Kiwi, Jasmine, Lapsang Tea"
Valentino,Born In Roma Uomo / Green / Yellow,Woody Spicy / Amber,"Violet Leaf, Salt, Black Pepper, Ginger, Vetiver, Red Apple, Pineapple, Tobacco"
Versace,Bright Crystal / Absolu,Floral Fruity,"Yuzu, Pomegranate, Ice, Peony, Lotus, Magnolia, Raspberry, Amber, Musk"
Versace,Crystal Noir,Amber Floral,"Pepper, Ginger, Cardamom, Coconut, Gardenia, Orange Blossom, Sandalwood"
Versace,Dylan Blue Men,Aromatic Fougère,"Calabrian Bergamot, Water Notes, Grapefruit, Fig Leaves, Papyrus, Patchouli"
Versace,Dylan Blue Women / Purple / Turquoise,Floral Fruity / Citrus,"Granny Smith Apple, Blackcurrant, Clover, Peach, Pear, Bitter Orange, Freesia"
Versace,Eros / Energy / Pour Femme,Aromatic Fougère / Citrus,"Mint, Green Apple, Lemon, Tonka Bean, Ambroxan, Blood Orange, Lime, Pomegranate"
Versace,L’Homme,Leather,"Lemon, Basil, Bergamot, Cinnamon, Sandalwood, Patchouli, Leather, Oakmoss"
Versace,Pour Homme,Aromatic Fougère,"Lemon, Neroli, Bergamot, Rose de Mai, Hyacinth, Clary Sage, Cedar"
Viktor & Rolf,Flowerbomb,Amber Floral,"Tea, Bergamot, Osmanthus, Orchid, Jasmine, Rose, Freesia, Patchouli"
YSL,Black Opium,Amber Vanilla,"Pear, Pink Pepper, Orange Blossom, Coffee, Jasmine, Bitter Almond, Vanilla"
YSL,Libre / Intense,Amber Fougere,"Lavender, Mandarin Orange, Black Currant, Orange Blossom, Jasmine, Vanilla"
YSL,Opium,Amber Spicy,"Tangerine, Bergamot, Lily-of-the-Valley, Myrrh, Jasmine, Opoponax, Amber"
YSL,Y EDP,Aromatic Fougère,"Apple, Ginger, Bergamot, Sage, Juniper Berries, Geranium, Amberwood"
